a","b","c","","d","","e"
[,"mant","mantebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"mant","mantebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"mant","mantebhi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"mant","mantebhi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"mant","mantehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"mant","mantehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"mant","mantehi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"mant","mantehi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"mant","mantesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"mant","mantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"mant","mantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"mant","mantī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"mant","mantī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"mant","mantī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"mant","mantī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"mant","mantī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"mant","mantībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"mant","mantībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"mant","mantīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"mant","mantīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"mant","mantiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"mant","mantīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"mant","mantīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"mant","mantīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"mant","mantiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"mant","mantiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"mant","mantiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"mant","mantiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"mant","mantiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"mant","mantiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"mant","mantiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"mant","mantiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"mant","mantiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"mant","manto",".ti.",".m.$.pl.$.nom.","0.99",],
[,"mant","manto",".ti.",".m.$.pl.$.voc.","0.3",],
[,"mant","manto",".ti.",".m.$.sg.$.nom.","0.99",],
[,"mant","manto",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mant","manto",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mant","manto",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"mant","matā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mant","matā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"mant","matā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mant","matā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"mant","matā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mant","matā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"mant","matā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mant","matā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"mant","mataṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"mant","mataṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"mant","mataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"mant","mataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"mant","mataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"mant","mataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"mant","matena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"mant","matena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"mant","matena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"mant","matena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"mant","matī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"mant","matī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"mant","matī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"mant","matī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"mant","matī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"mant","mati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mant","mati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mant","mati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mant","mati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mant","matībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"mant","matībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"mant","matīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"mant","matīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"mant","matiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"mant","matīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"mant","matīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"mant","matīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"mant","matiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"mant","matiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"mant","matiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"mant","matiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"mant","matiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"mant","matiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"mant","matiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"mant","matiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"mant","matiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"mant","mato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"mant","mato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"mant","mato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"mant","mato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"mant","mato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"mant","mato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"mant","mato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"mant","mato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"mant","me",".ti.",".m.$.pl.$.acc.","0.99",],
[,"mant","mebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"mant","mebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"mant","mehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"mant","mehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"mant","mesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"vant","vā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"vant","vā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"vant","vā",".ti.",".m.$.sg.$.nom.","0.99",],
[,"vant","va",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vant","vā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vant","vā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vant","vā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vant","va",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vant","vā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vant","vā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vant","vā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vant","vaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"vant","vaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"vant","vaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vant","vaṃ",".ti.",".m.$.sg.$.nom.","0.99",],
[,"vant","vaṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vant","vaṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vant","vaṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vant","vaṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vant","vānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"vant","vānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"vant","vantā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"vant","vantā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"vant","vantā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vant","vanta",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vant","vantā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vant","vanta",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vant","vantā",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vant","vanta",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vant","vantā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vant","vanta",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vant","vantā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vant","vantā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vant","vanta",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vant","vantā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vant","vantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"vant","vantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"vant","vantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vant","vantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vant","vantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"vant","vantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"vant","vantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vant","vantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vant","vantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vant","vantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vant","vantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vant","vantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vant","vantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vant","vantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vant","vantānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"vant","vantānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"vant","vantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vant","vantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vant","vantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vant","vantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vant","vantani",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vant","vantāni",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vant","vantani",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vant","vantāni",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vant","vantani",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vant","vantāni",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vant","vantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vant","vantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vant","vantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vant","vantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vant","vantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vant","vantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vant","vantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vant","vantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vant","vantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vant","vantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vant","vantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vant","vantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vant","vantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vant","vantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vant","vantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vant","vantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vant","vante",".ti.",".m.$.pl.$.acc.","0.99",],
[,"vant","vante",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vant","vante",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vant","vante",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vant","vantebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vant","vantebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vant","vantebhi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"vant","vantebhi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"vant","vantehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vant","vantehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vant","vantehi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"vant","vantehi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"vant","vantesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"vant","vantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"vant","vantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"vant","vantī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vant","vantī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vant","vantī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vant","vantī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"vant","vantī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"vant","vantībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vant","vantībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vant","vantīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vant","vantīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vant","vantiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"vant","vantīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"vant","vantīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"vant","vantīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"vant","vantiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"vant","vantiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"vant","vantiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"vant","vantiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"vant","vantiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vant","vantiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vant","vantiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vant","vantiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vant","vantiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vant","vanto",".ti.",".m.$.pl.$.nom.","0.99",],
[,"vant","vanto",".ti.",".m.$.pl.$.voc.","0.3",],
[,"vant","vanto",".ti.",".m.$.sg.$.nom.","0.99",],
[,"vant","vanto",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vant","vanto",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vant","vanto",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vant","vatā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vant","vatā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vant","vatā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vant","vatā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vant","vatā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vant","vatā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vant","vatā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vant","vatā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vant","vataṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"vant","vataṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"vant","vataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vant","vataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vant","vataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vant","vataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vant","vatena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vant","vatena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vant","vatena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vant","vatena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vant","vatī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vant","vatī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vant","vatī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vant","vatī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"vant","vatī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"vant","vati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vant","vati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vant","vati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vant","vati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vant","vatībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vant","vatībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vant","vatīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vant","vatīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vant","vatiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"vant","vatīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"vant","vatīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"vant","vatīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"vant","vatiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"vant","vatiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"vant","vatiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"vant","vatiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"vant","vatiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vant","vatiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vant","vatiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vant","vatiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vant","vatiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vant","vato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vant","vato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vant","vato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vant","vato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vant","vato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vant","vato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vant","vato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vant","vato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vant","ve",".ti.",".m.$.pl.$.acc.","0.99",],
[,"vant","vebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vant","vebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vant","vehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vant","vehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vant","vesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"mantu","mā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"mantu","mā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"mantu","mā",".ti.",".m.$.sg.$.nom.","0.99",],
[,"mantu","ma",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mantu","mā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mantu","mā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mantu","mā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mantu","ma",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mantu","mā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mantu","mā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mantu","mā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mantu","maṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"mantu","maṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"mantu","maṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"mantu","maṃ",".ti.",".m.$.sg.$.nom.","0.99",],
[,"mantu","maṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mantu","maṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mantu","maṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mantu","maṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mantu","mānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"mantu","mānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"mantu","mantā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"mantu","mantā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"mantu","mantā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mantu","manta",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mantu","mantā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"mantu","manta",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mantu","mantā",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mantu","manta",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mantu","mantā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mantu","manta",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mantu","mantā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mantu","mantā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mantu","manta",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mantu","mantā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"mantu","mantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"mantu","mantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"mantu","mantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"mantu","mantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"mantu","mantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"mantu","mantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"mantu","mantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mantu","mantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mantu","mantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mantu","mantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mantu","mantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mantu","mantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mantu","mantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mantu","mantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mantu","mantānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"mantu","mantānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"mantu","mantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"mantu","mantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"mantu","mantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"mantu","mantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"mantu","mantani",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mantu","mantāni",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mantu","mantani",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mantu","mantāni",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"mantu","mantani",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mantu","mantāni",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"mantu","mantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mantu","mantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mantu","mantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"mantu","mantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"mantu","mantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mantu","mantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mantu","mantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mantu","mantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mantu","mantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"mantu","mantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"mantu","mantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"mantu","mantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"mantu","mantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"mantu","mantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"mantu","mantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"mantu","mantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"mantu","mante",".ti.",".m.$.pl.$.acc.","0.99",],
[,"mantu","mante",".ti.",".m.$.sg.$.loc.","0.99",],
[,"mantu","mante",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"mantu","mante",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"mantu","mantebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"mantu","mantebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"mantu","mantebhi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"mantu","mantebhi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"mantu","mantehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"mantu","mantehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"mantu","mantehi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"mantu","mantehi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"mantu","mantesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"mantu","mantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"mantu","mantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"mantu","mantī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"mantu","mantī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"mantu","mantī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"mantu","mantī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"mantu","mantī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"mantu","mantībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"mantu","mantībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"mantu","mantīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"mantu","mantīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"mantu","mantiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"mantu","mantīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"mantu","mantīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"mantu","mantīsu",".ti.",".f.$.pl.$.loc.","0.99",],
