Date : 2020-11-22 22:27:11
Directory : c:\mysoft\Ampps\www\mint\app
Total : 1888 files,  1117371 codes, 188215 comments, 46391 blanks, all 1351977 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\arrow-l-black.svg                                                  | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\arrow-l-white.svg                                                  | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\arrow-r-black.svg                                                  | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\arrow-r-white.svg                                                  | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\arrow-u-black.svg                                                  | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\arrow-u-l-black.svg                                                | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\arrow-u-l-white.svg                                                | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\arrow-u-r-black.svg                                                | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\arrow-u-r-white.svg                                                | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\arrow-u-white.svg                                                  | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\audio-black.svg                                                    | XML        |         39 |          1 |          1 |         41 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\audio-white.svg                                                    | XML        |         39 |          1 |          1 |         41 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\back-black.svg                                                     | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\back-white.svg                                                     | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\bars-black.svg                                                     | XML        |          8 |          1 |          1 |         10 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\bars-white.svg                                                     | XML        |          8 |          1 |          1 |         10 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\bullets-black.svg                                                  | XML        |          9 |          1 |          1 |         11 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\bullets-white.svg                                                  | XML        |         10 |          1 |          1 |         12 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\calendar-black.svg                                                 | XML        |         38 |          1 |          1 |         40 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\calendar-white.svg                                                 | XML        |         38 |          1 |          1 |         40 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\camera-black.svg                                                   | XML        |          8 |          1 |          1 |         10 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\camera-white.svg                                                   | XML        |          9 |          1 |          1 |         11 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\carat-d-black.svg                                                  | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\carat-d-white.svg                                                  | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\carat-l-black.svg                                                  | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\carat-l-white.svg                                                  | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\carat-r-black.svg                                                  | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\carat-r-white.svg                                                  | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\carat-u-black.svg                                                  | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\carat-u-white.svg                                                  | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\check-black.svg                                                    | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\check-white.svg                                                    | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\clock-black.svg                                                    | XML        |         37 |          1 |          1 |         39 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\clock-white.svg                                                    | XML        |         37 |          1 |          1 |         39 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\cloud-black.svg                                                    | XML        |          8 |          1 |          1 |         10 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\cloud-white.svg                                                    | XML        |          8 |          1 |          1 |         10 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\comment-black.svg                                                  | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\comment-white.svg                                                  | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\delete-black.svg                                                   | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\delete-white.svg                                                   | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\edit-black.svg                                                     | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\edit-white.svg                                                     | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\eye-black.svg                                                      | XML        |          7 |          1 |          1 |          9 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\eye-white.svg                                                      | XML        |          7 |          1 |          1 |          9 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\forbidden-black.svg                                                | XML        |         39 |          1 |          1 |         41 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\forbidden-white.svg                                                | XML        |         39 |          1 |          1 |         41 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\forward-black.svg                                                  | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\forward-white.svg                                                  | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\gear-black.svg                                                     | XML        |         51 |          1 |          1 |         53 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\gear-white.svg                                                     | XML        |         51 |          1 |          1 |         53 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\grid-black.svg                                                     | XML        |         43 |          1 |          1 |         45 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\grid-white.svg                                                     | XML        |         43 |          1 |          1 |         45 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\heart-black.svg                                                    | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\heart-white.svg                                                    | XML        |          7 |          1 |          1 |          9 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\home-black.svg                                                     | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\home-white.svg                                                     | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\info-black.svg                                                     | XML        |         37 |          1 |          1 |         39 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\info-white.svg                                                     | XML        |         37 |          1 |          1 |         39 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\location-black.svg                                                 | XML        |          7 |          1 |          1 |          9 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\location-white.svg                                                 | XML        |          7 |          1 |          1 |          9 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\lock-black.svg                                                     | XML        |          7 |          1 |          1 |          9 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\lock-white.svg                                                     | XML        |          8 |          1 |          1 |         10 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\mail-black.svg                                                     | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\mail-white.svg                                                     | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\minus-black.svg                                                    | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\minus-white.svg                                                    | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\navigation-black.svg                                               | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\navigation-white.svg                                               | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\phone-black.svg                                                    | XML        |         11 |          1 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\phone-white.svg                                                    | XML        |         11 |          1 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\plus-black.svg                                                     | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\plus-white.svg                                                     | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\power-black.svg                                                    | XML        |         11 |          1 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\power-white.svg                                                    | XML        |         11 |          1 |          1 |         13 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\recycle-black.svg                                                  | XML        |          7 |          1 |          1 |          9 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\recycle-white.svg                                                  | XML        |          8 |          1 |          1 |         10 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\refresh-black.svg                                                  | XML        |         39 |          1 |          1 |         41 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\refresh-white.svg                                                  | XML        |         39 |          1 |          1 |         41 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\search-black.svg                                                   | XML        |          8 |          1 |          1 |         10 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\search-white.svg                                                   | XML        |          8 |          1 |          1 |         10 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\shop-black.svg                                                     | XML        |          8 |          1 |          1 |         10 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\shop-white.svg                                                     | XML        |          8 |          1 |          1 |         10 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\star-black.svg                                                     | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\star-white.svg                                                     | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\tag-black.svg                                                      | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\tag-white.svg                                                      | XML        |         36 |          1 |          1 |         38 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\user-black.svg                                                     | XML        |         40 |          1 |          1 |         42 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\user-white.svg                                                     | XML        |         40 |          1 |          1 |         42 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\video-black.svg                                                    | XML        |          6 |          1 |          1 |          8 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\images\icons-svg\video-white.svg                                                    | XML        |          7 |          1 |          1 |          9 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\jquery.mobile-1.4.5.min.css                                                         | CSS        |          1 |          1 |          1 |          3 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\jquery.mobile.external-png-1.4.5.min.css                                            | CSS        |          1 |          1 |          1 |          3 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\jquery.mobile.icons-1.4.5.min.css                                                   | CSS        |          1 |          1 |          1 |          3 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\jquery.mobile.inline-png-1.4.5.min.css                                              | CSS        |          1 |          1 |          1 |          3 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\jquery.mobile.inline-svg-1.4.5.min.css                                              | CSS        |          1 |          1 |          1 |          3 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\jquery.mobile.structure-1.4.5.min.css                                               | CSS        |          1 |          1 |          1 |          3 |
| c:\mysoft\Ampps\www\mint\app\public\css\themes\default\jquery.mobile.theme-1.4.5.min.css                                                   | CSS        |          1 |          1 |          1 |          3 |
| c:\mysoft\Ampps\www\mint\app\public\function.php                                                                                           | PHP        |        153 |         39 |         41 |        233 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\Ic_add_folder.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\Ic_cursor-click.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\Ic_dictionary.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\Ic_folder_move.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\Ic_pali_spelling.svg                                                                        | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\Ic_person_add.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\Ic_rename.svg                                                                               | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\Ic_view_check.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\Path 25.svg                                                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\Path 61.svg                                                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\archive.svg                                                                                 | XML        |          3 |          0 |          1 |          4 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_add_circle.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_check_box.svg                                                                            | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_check_box_outline_blank.svg                                                              | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_delete.svg                                                                               | XML        |          5 |          0 |          0 |          5 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_folder.svg                                                                               | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_folder_48px-1.svg                                                                        | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_folder_48px-2.svg                                                                        | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_folder_48px.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_format_size.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_forum.svg                                                                                | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_group.svg                                                                                | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_group_48px-1.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_group_48px-10.svg                                                                        | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_group_48px-11.svg                                                                        | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_group_48px-12.svg                                                                        | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_group_48px-2.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_group_48px-3.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_group_48px-4.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_group_48px-5.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_group_48px-6.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_group_48px-7.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_group_48px-8.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_group_48px-9.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_group_48px.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_logo1.svg                                                                                | XML        |         12 |          0 |          0 |         12 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\ic_search.svg                                                                               | XML        |          1 |          0 |          0 |          1 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\more.svg                                                                                    | XML        |          6 |          0 |          0 |          6 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\wikipali_banner.svg                                                                         | XML        |         22 |          0 |          1 |         23 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\wikipali_login_page.svg                                                                     | XML        |         22 |          0 |          1 |         23 |
| c:\mysoft\Ampps\www\mint\app\public\images\svg\wikipali_without_studio.svg                                                                 | XML        |         21 |          0 |          1 |         22 |
| c:\mysoft\Ampps\www\mint\app\public\js\case.json                                                                                           | JSON       |        848 |          0 |          0 |        848 |
| c:\mysoft\Ampps\www\mint\app\public\js\comm.js                                                                                             | JavaScript |        133 |          9 |         10 |        152 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\css\annotations\popup.css                                                                | CSS        |        201 |          2 |         33 |        236 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\css\annotations\popup.scss                                                               | SCSS       |        203 |          2 |         34 |        239 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\css\highcharts.css                                                                       | CSS        |        728 |         40 |        183 |        951 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\css\highcharts.scss                                                                      | SCSS       |        738 |         45 |         59 |        842 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\css\stocktools\gui.css                                                                   | CSS        |        206 |         25 |         35 |        266 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\css\stocktools\gui.scss                                                                  | SCSS       |        206 |         26 |         33 |        265 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\css\themes\dark-unica.css                                                                | CSS        |        775 |         40 |        197 |      1,012 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\css\themes\dark-unica.scss                                                               | SCSS       |         73 |         19 |         31 |        123 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\css\themes\grid-light.css                                                                | CSS        |        739 |         40 |        186 |        965 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\css\themes\grid-light.scss                                                               | SCSS       |         18 |          7 |          8 |         33 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\css\themes\sand-signika.css                                                              | CSS        |        751 |         40 |        190 |        981 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\css\themes\sand-signika.scss                                                             | SCSS       |         40 |         16 |         18 |         74 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\ControlPoint.js                                                   | JavaScript |         55 |         88 |          1 |        144 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\MockPoint.js                                                      | JavaScript |        182 |        244 |          1 |        427 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\annotations.src.js                                                | JavaScript |        410 |        758 |          1 |      1,169 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\controllable\ControllableCircle.js                                | JavaScript |         46 |         33 |          1 |         80 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\controllable\ControllableImage.js                                 | JavaScript |         46 |         33 |          1 |         80 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\controllable\ControllableLabel.js                                 | JavaScript |        242 |         96 |          1 |        339 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\controllable\ControllablePath.js                                  | JavaScript |        101 |         40 |          1 |        142 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\controllable\ControllableRect.js                                  | JavaScript |         44 |         38 |          1 |         83 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\controllable\controllableMixin.js                                 | JavaScript |        192 |        178 |          1 |        371 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\controllable\markerMixin.js                                       | JavaScript |         97 |         60 |          1 |        158 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\eventEmitterMixin.js                                              | JavaScript |        160 |         52 |          1 |        213 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\navigationBindings.js                                             | JavaScript |        589 |        447 |          1 |      1,037 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\popup.js                                                          | JavaScript |        442 |        291 |          1 |        734 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\types\BasicAnnotation.js                                          | JavaScript |        134 |         30 |          1 |        165 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\types\CrookedLine.js                                              | JavaScript |         91 |         80 |          1 |        172 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\types\ElliottWave.js                                              | JavaScript |         57 |         28 |          1 |         86 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\types\Fibonacci.js                                                | JavaScript |        133 |         61 |          1 |        195 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\types\InfinityLine.js                                             | JavaScript |        106 |         41 |          1 |        148 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\types\Measure.js                                                  | JavaScript |        470 |        267 |          1 |        738 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\types\Pitchfork.js                                                | JavaScript |        135 |         48 |          1 |        184 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\types\Tunnel.js                                                   | JavaScript |        133 |         61 |          1 |        195 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\annotations\types\VerticalLine.js                                             | JavaScript |         86 |         31 |          1 |        118 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\error-messages.js                                                             | JavaScript |        125 |          9 |          5 |        139 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\error.js                                                                      | JavaScript |          1 |          0 |          1 |          2 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\highcharts.src.js                                                             | JavaScript |     13,265 |      3,867 |      2,722 |     19,854 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\highcharts-3d.src.js                                                  | JavaScript |         12 |          9 |          1 |         22 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\highcharts-more.src.js                                                | JavaScript |         15 |          9 |          1 |         25 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\highcharts.src.js                                                     | JavaScript |         28 |          8 |          1 |         37 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\modules\accessibility.src.js                                          | JavaScript |          2 |         12 |          2 |         16 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\modules\annotations-advanced.src.js                                   | JavaScript |         13 |         11 |          1 |         25 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\modules\annotations.src.js                                            | JavaScript |          4 |         11 |          1 |         16 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\modules\arrow-symbols.src.js                                          | JavaScript |          2 |         11 |          1 |         14 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\modules\boost-canvas.src.js                                           | JavaScript |          2 |         12 |          1 |         15 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\modules\boost.src.js                                                  | JavaScript |          2 |        118 |          3 |        123 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\modules\broken-axis.src.js                                            | JavaScript |          2 |          9 |          1 |         12 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\modules\bullet.src.js                                                 | JavaScript |          2 |         11 |          1 |         14 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\modules\coloraxis.src.js                                              | JavaScript |          2 |         11 |          1 |         14 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\modules\current-date-indicator.src.js                                 | JavaScript |          2 |         11 |          1 |         14 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\modules\cylinder.src.js                                               | JavaScript |          2 |         12 |          1 |         15 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\modules\data.src.js                                                   | JavaScript |          2 |         11 |          1 |         14 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\modules\datagrouping.src.js                                           | JavaScript |          3 |         11 |          1 |         15 |
| c:\mysoft\Ampps\www\mint\app\public\js\highcharts\es-modules\masters\modules\debugger.src.js                                               | JavaScript |          3 |         11 |          3 |         17 |
